size,address,rate,status,bathrooms,floor,balconies,security_deposit,facing,status.1,rera_id,ownership_type,booking_amount,overlooking,bedroom,type1,type2,price_in_lakh,carpet_area,age_of_property,floor,total_floor,additional_rooms,price_negotiable,balconies,type_of_sale,booking_amount_in_lakh,amenities_sports_facility,amenities_shopping_mall,amenities_maintenance_staff,amenities_jogging_track,amenities_atm,amenities_gymnasium,amenities_indoor_games,amenities_rain_water_harvesting,amenities_swimming_pool,amenities_intercom,amenities_cafeteria,amenities_full_power_backup,amenities_lift,amenities_childrens_play_area,amenities_car_parking,amenities_landscaped_gardens,amenities_24_x_7_security,amenities_club_house,amenities_staff_quarter,amenities_hospital,amenities_multipurpose_room,amenities_vaastu_compliant,amenities_golf_course,amenities_school,furnish_detail_gas_connection,furnish_detail_ac,furnish_detail_bed,furnish_detail_dining_table,furnish_detail_washing_machine,furnish_detail_tv,furnish_detail_microwave,furnish_detail_wardrobe,furnish_detail_sofa,furnish_detail_wifi,furnish_detail_refrigerator
1250,"sector 50, noida",8800.0,Ready to move,2.0,,,No Deposit,,Semi-Furnished,Rera Not Applicable,,,,2,BHK,Apartment,110.00000000000001,1150.0,17,,,,No,,Resale,,False,False,False,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,False,,,,,,,,,,,
2034,"sector 117, noida",16000.0,Under Construction,3.0,,,No Deposit,NorthEast,Furnished,,,,,3,BHK,Apartment,325.0,1255.0,,,,,No,,New,,True,False,False,False,False,True,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
945,"sector 73, noida",2962.0,Ready to move,2.0,,,No Deposit,South,Semi-Furnished,,,,,2,BHK,Apartment,28.0,845.0,,,,,No,,New,,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,
1097,"extension, noida, noida",2999.0,Ready to move,2.0,,,No Deposit,SouthWest,Semi-Furnished,Rera Not Applicable,,,,2,BHK,Apartment,32.9,897.0,2,,,,No,,Resale,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,
1380,"extension, noida, noida",9058.0,Under Construction,2.0,,,No Deposit,,Unfurnished,UPRERAPRJ145736,,,,3,BHK,Apartment,125.0,696.0,,,,,No,,New,,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,,,,,,,,,,,
1012,"sector 25 yamuna express way, noida",7411.0,Ready to move,2.0,,,No Deposit,NorthEast,Unfurnished,"UPRERAPRJ6811, UPRERAPRJ6856, UPRERAPRJ6887, UPRERAPRJ6634, UPRERAPRJ6721, UPRERAPRJ6766",,,,2,BHK,Apartment,75.0,966.0,,,,,No,,New,,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,False,False,,,,,,,,,,,
1500,"extension, noida, noida",3466.0,Ready to move,2.0,,,No Deposit,South,Semi-Furnished,,,,,3,BHK,Independent Floor,52.0,1000.0,1,,,,No,,New,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
1115,"sector 137, noida",10762.0,Ready to move,2.0,,,No Deposit,NorthEast,Semi-Furnished,UPRERAPRJ11424,,,,2,BHK,Apartment,120.0,850.0,7,,,,No,,Resale,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,,,,,,,,,,,
1650,"extension, noida, noida",3029.0,Ready to move,2.0,,,No Deposit,North,Semi-Furnished,,,,,3,BHK,Apartment,49.99,1550.0,1,,,,No,,New,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2450,"extension, noida, noida",6938.0,Under Construction,2.0,,,No Deposit,,Furnished,,,,,3,BHK,Apartment,170.0,1828.0,,,,,No,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277,"sector 137, noida",9788.0,Ready to move,2.0,,,No Deposit,NorthEast,Semi-Furnished,UPRERAPRJ11424,,,,2,BHK,Apartment,125.0,1000.0,7,,,,No,,Resale,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
4874,"sector 108, noida",17019.0,Ready to move,3.0,,,No Deposit,,Unfurnished,UPRERAPRJ5998,,,,4,BHK,Apartment,828.9999999999999,4200.0,7,,,,No,,New,,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,,,,,,,,,,,
1450,"sector 137, noida",13793.0,Ready to move,2.0,,,No Deposit,East,Semi-Furnished,Rera Not Applicable,,,,3,BHK,Apartment,200.0,1300.0,9,,,,No,,Resale,,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,,,,,,,,,,,
3011,"sector 128, noida",18000.0,Ready to move,3.0,,,No Deposit,,Unfurnished,UPRERAPRJ14980,,,,3,BHK,Apartment,541.0,1608.0,1,,,,No,,New,,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,False,True,False,,,,,,,,,,,
650,"yamuna expressway, noida, noida",6923.0,Ready to move,1.0,,,No Deposit,SouthEast,Furnished,UPRERAPRJ351477,,,,1,BHK,Apartment,45.0,,4,,,,No,,New,,False,False,False,False,False,True,False,True,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,True
1675,"sector 150, noida",10447.0,Ready to move,3.0,,,No Deposit,NorthEast,Semi-Furnished,UPRERAPRJ442430,,,,3,BHK,Apartment,175.0,1430.0,,,,,No,,Resale,,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,False,False,True,True,True,True,True,True,True,False,True,False,True
1450,"sector 73, noida",3717.0,Under Construction,2.0,,,No Deposit,North,Semi-Furnished,,,,,3,BHK,Independent Floor,53.9,1400.0,,,,,No,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,"sector 93a, noida",16451.0,Ready to move,3.0,,,No Deposit,NorthEast,Semi-Furnished,,,,,3,BHK,Apartment,254.99999999999997,1400.0,15,,,,No,,Resale,,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
1690,"sector 79, noida",12544.0,Ready to move,2.0,,,No Deposit,NorthEast,Semi-Furnished,UPRERAPRJ3528,,,,3,BHK,Apartment,212.0,850.0,3,,,,No,,Resale,,True,False,False,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
955,"sector 77, noida",12000.0,Ready to move,2.0,,,No Deposit,East,Semi-Furnished,Rera Not Applicable,,,,2,BHK,Apartment,113.99999999999999,750.0,9,,,,No,,Resale,,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,,,,,,,,,,,
2000,"sector 150, noida",12000.0,Ready to move,4.0,,,No Deposit,,Semi-Furnished,"UPRERAPRJ14316, UPRERAPRJ3250",,,,3,BHK,Apartment,240.0,,,,,,No,,Resale,,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
